filename,lr_size,hr_size,scale_x,scale_y,ssim,color_drift,sharpness_ratio,bad,reasons
pkmn_00012_.png,139x142,556x568,4.0,4.0,0.9252,1.8186,1.03,False,
pkmn_00013_.png,139x142,556x568,4.0,4.0,0.8427,3.5262,0.9808,False,
pkmn_00014_.png,139x142,556x568,4.0,4.0,0.8654,3.0665,1.0499,False,
pkmn_00015_.png,139x142,556x568,4.0,4.0,0.845,3.8282,0.9591,False,
pkmn_00016_.png,139x142,556x568,4.0,4.0,0.8555,3.4809,0.8988,False,
pkmn_00017_.png,139x142,556x568,4.0,4.0,0.8608,2.3586,1.0073,False,
pkmn_00018_.png,139x142,556x568,4.0,4.0,0.8668,2.8891,1.0206,False,
pkmn_00019_.png,139x142,556x568,4.0,4.0,0.8414,3.2299,0.9181,False,
pkmn_00020_.png,139x142,556x568,4.0,4.0,0.8697,3.0781,0.9416,False,
pkmn_00021_.png,139x142,556x568,4.0,4.0,0.8249,4.1845,0.9765,False,
pkmn_00022_.png,139x142,556x568,4.0,4.0,0.8495,3.7025,0.8485,False,
pkmn_00023_.png,139x142,556x568,4.0,4.0,0.8863,2.4492,0.942,False,
pkmn_00024_.png,139x142,556x568,4.0,4.0,0.9031,2.3014,0.9355,False,
pkmn_00025_.png,139x142,556x568,4.0,4.0,0.8471,3.5525,0.8962,False,
pkmn_00026_.png,139x142,556x568,4.0,4.0,0.879,2.8114,0.9181,False,
pkmn_00027_.png,139x142,556x568,4.0,4.0,0.8379,3.8627,0.9407,False,
pkmn_00028_.png,139x142,556x568,4.0,4.0,0.8807,2.5572,0.9642,False,
pkmn_00029_.png,139x142,556x568,4.0,4.0,0.8738,3.0506,0.9577,False,
pkmn_00030_.png,139x142,556x568,4.0,4.0,0.86,3.8695,0.8521,False,
pkmn_00031_.png,139x142,556x568,4.0,4.0,0.8544,3.6247,0.8734,False,
pkmn_00032_.png,139x142,556x568,4.0,4.0,0.8158,4.0506,0.9117,False,
pkmn_00033_.png,139x142,556x568,4.0,4.0,0.8745,2.6922,1.0567,False,
pkmn_00034_.png,139x142,556x568,4.0,4.0,0.8601,3.2772,0.9312,False,
pkmn_00035_.png,139x142,556x568,4.0,4.0,0.8425,3.3852,0.967,False,
pkmn_00036_.png,139x142,556x568,4.0,4.0,0.8055,4.7521,0.829,False,
pkmn_00037_.png,139x142,556x568,4.0,4.0,0.8635,3.1506,0.9718,False,
pkmn_00038_.png,139x142,556x568,4.0,4.0,0.8346,4.1355,0.8913,False,
pkmn_00039_.png,139x142,556x568,4.0,4.0,0.8442,3.6396,0.854,False,
pkmn_00040_.png,139x142,556x568,4.0,4.0,0.8645,3.2721,0.8263,False,
pkmn_00041_.png,139x142,556x568,4.0,4.0,0.7982,4.9886,0.7788,False,
pkmn_00042_.png,139x142,556x568,4.0,4.0,0.8821,2.5927,0.9155,False,
pkmn_00043_.png,139x142,556x568,4.0,4.0,0.7802,4.7391,0.8484,False,
pkmn_00044_.png,139x142,556x568,4.0,4.0,0.8784,2.7128,0.9987,False,
pkmn_00045_.png,139x142,556x568,4.0,4.0,0.8149,3.2944,1.102,False,
pkmn_00046_.png,139x142,556x568,4.0,4.0,0.8561,3.3951,1.0068,False,
pkmn_00047_.png,139x142,556x568,4.0,4.0,0.8271,3.3658,0.8866,False,
pkmn_00048_.png,139x142,556x568,4.0,4.0,0.8667,3.0303,0.9486,False,
pkmn_00049_.png,139x142,556x568,4.0,4.0,0.8552,3.1856,0.8306,False,
pkmn_00050_.png,139x142,556x568,4.0,4.0,0.8167,3.7843,0.9577,False,
pkmn_00051_.png,139x142,556x568,4.0,4.0,0.8343,3.7508,0.8053,False,
pkmn_00052_.png,139x142,556x568,4.0,4.0,0.8223,4.1861,0.8756,False,
pkmn_00053_.png,139x142,556x568,4.0,4.0,0.8819,2.5118,0.9639,False,
pkmn_00054_.png,139x142,556x568,4.0,4.0,0.8658,2.6151,0.8966,False,
pkmn_00055_.png,139x142,556x568,4.0,4.0,0.8336,3.1036,0.7542,False,
pkmn_00056_.png,139x142,556x568,4.0,4.0,0.845,3.8019,0.8724,False,
pkmn_00057_.png,139x142,556x568,4.0,4.0,0.8574,2.9222,0.8714,False,
pkmn_00058_.png,139x142,556x568,4.0,4.0,0.8123,4.101,0.767,False,
pkmn_00059_.png,139x142,556x568,4.0,4.0,0.857,3.7686,0.9195,False,
pkmn_00060_.png,139x142,556x568,4.0,4.0,0.8269,3.7944,0.9156,False,
pkmn_00061_.png,139x142,556x568,4.0,4.0,0.8381,3.4807,0.9084,False,
pkmn_00062_.png,139x142,556x568,4.0,4.0,0.806,4.4681,1.0022,False,
pkmn_00063_.png,139x142,556x568,4.0,4.0,0.8364,3.8873,0.8234,False,
pkmn_00064_.png,139x142,556x568,4.0,4.0,0.8065,4.6225,0.8487,False,
pkmn_00065_.png,139x142,556x568,4.0,4.0,0.8638,2.9608,0.974,False,
pkmn_00066_.png,139x142,556x568,4.0,4.0,0.8318,3.9905,0.9164,False,
pkmn_00067_.png,139x142,556x568,4.0,4.0,0.8416,3.4144,0.8263,False,
pkmn_00068_.png,139x142,556x568,4.0,4.0,0.7902,5.1301,0.8558,False,
pkmn_00069_.png,139x142,556x568,4.0,4.0,0.8472,3.2231,0.9989,False,
pkmn_00070_.png,139x142,556x568,4.0,4.0,0.8764,3.1012,0.8468,False,
pkmn_00071_.png,139x142,556x568,4.0,4.0,0.8702,3.1298,0.9518,False,
pkmn_00072_.png,139x142,556x568,4.0,4.0,0.8099,3.901,0.8341,False,
pkmn_00073_.png,139x142,556x568,4.0,4.0,0.8412,3.5963,1.0538,False,
pkmn_00074_.png,139x156,556x624,4.0,4.0,0.8188,4.5068,0.8642,False,
pkmn_00075_.png,139x156,556x624,4.0,4.0,0.902,2.4647,0.7421,False,
pkmn_00076_.png,139x156,556x624,4.0,4.0,0.908,1.7189,0.8935,False,
pkmn_00077_.png,139x156,556x624,4.0,4.0,0.8649,2.8046,1.1681,False,
pkmn_00078_.png,139x156,556x624,4.0,4.0,0.9111,2.0039,1.1644,False,
